metric,comparison,n_pairs,mean_delta,sd_delta,median_delta,q1_delta,q3_delta,min_delta,max_delta,improved,unchanged,worsened
human_observation_recall,B-A,6,0.0837962962962963,0.26193968221585207,0.10555555555555551,0.024999999999999994,0.27777777777777773,-0.375,0.33333333333333337,4,1,1
human_observation_recall,C-A,6,0.06064814814814814,0.2877671419456,0.04999999999999999,-0.09375,0.19166666666666665,-0.33333333333333337,0.5,3,1,2
human_observation_recall,D-A,6,0.07222222222222222,0.24981474617685684,0.04999999999999999,0.0,0.27499999999999997,-0.33333333333333337,0.33333333333333337,3,2,1
weighted_human_feedback_coverage,B-A,6,0.05972222222222221,0.12023318393238414,0.07499999999999998,0.0,0.16249999999999998,-0.125,0.16666666666666669,3,2,1
weighted_human_feedback_coverage,C-A,6,0.09907407407407405,0.14846609400788735,0.07499999999999998,0.0,0.22499999999999998,-0.08333333333333337,0.27777777777777773,3,2,1
weighted_human_feedback_coverage,D-A,6,0.11527777777777774,0.09866000352876692,0.1583333333333333,0.13124999999999998,0.16666666666666666,-0.08333333333333337,0.16666666666666669,5,0,1
human_agreement_precision,B-A,6,0.00715164465164464,0.3066703583152167,0.0013354700854700946,-0.24038461538461536,0.14850427350427348,-0.32272727272727275,0.48636363636363633,3,0,3
human_agreement_precision,C-A,6,-0.010039497539497538,0.18281267369517293,-0.05208333333333334,-0.11979166666666666,0.055106351981351984,-0.2090909090909091,0.30454545454545456,2,0,4
human_agreement_precision,D-A,6,-0.009456746956746956,0.26869599013655643,-0.11787587412587415,-0.19475524475524478,0.09181963869463874,-0.22596153846153844,0.4636363636363636,2,0,4
human_agreement_f1,B-A,6,0.005184712167190002,0.28033610782522944,0.009474321553693252,-0.20829314225345638,0.2128892990821925,-0.3474488024991323,0.35979643765903313,3,0,3
human_agreement_f1,C-A,6,0.012837623610894957,0.18081623868281838,0.04068456138710655,-0.13557140140836543,0.11549367121643868,-0.20748497188287762,0.25703493862134097,3,0,3
human_agreement_f1,D-A,6,-0.008214634339498242,0.21172095131179675,-0.06749443113191099,-0.09568068647070532,0.06714699086827197,-0.26936026936026924,0.3481099656357389,2,0,4
corrective_observation_recall,B-A,6,0.013888888888888886,0.2906729102285604,0.0,0.0,0.1875,-0.5,0.3333333333333333,2,3,1
corrective_observation_recall,C-A,6,0.027777777777777773,0.46447899924618846,-0.08333333333333337,-0.29166666666666674,0.375,-0.5,0.6666666666666667,2,1,3
corrective_observation_recall,D-A,6,-9.25185853854297e-18,0.21081851067789195,0.0,0.0,0.0,-0.33333333333333337,0.3333333333333333,1,4,1
strength_observation_recall,B-A,6,0.24305555555555555,0.39300892931143244,0.0625,0.0,0.28125,0.0,1.0,3,3,0
strength_observation_recall,C-A,6,0.1875,0.45319084770595763,0.0625,0.0,0.28125,-0.33333333333333337,1.0,3,2,1
strength_observation_recall,D-A,6,0.1875,0.45319084770595763,0.0625,0.0,0.28125,-0.33333333333333337,1.0,3,2,1
human_targeted_requirement_recall,B-A,6,0.03759820426487092,0.15788936341452484,0.0,-0.0681818181818182,0.05555555555555555,-0.09090909090909094,0.3333333333333333,2,2,2
human_targeted_requirement_recall,C-A,6,-0.01010101010101012,0.2238690129647688,0.04545454545454547,0.0,0.10606060606060602,-0.4444444444444445,0.18181818181818177,3,2,1
human_targeted_requirement_recall,D-A,6,-0.018518518518518535,0.34724074024693996,0.0,0.0,0.16666666666666666,-0.6666666666666667,0.3333333333333333,2,3,1
corrective_requirement_recall,B-A,6,0.03174603174603174,0.15841238031586857,0.0,0.0,0.0,-0.1428571428571429,0.3333333333333333,1,4,1
corrective_requirement_recall,C-A,6,-0.013250517598343689,0.2966647586736155,0.0,0.0,0.15000000000000005,-0.5652173913043479,0.2857142857142857,2,3,1
corrective_requirement_recall,D-A,6,-0.015458937198067632,0.4363706906772493,0.0,0.0,0.25,-0.8260869565217391,0.4,2,3,1
strength_requirement_recall,B-A,5,0.08,0.2387467277262664,0.0,0.0,0.0,-0.09999999999999998,0.5,1,3,1
strength_requirement_recall,C-A,5,0.07000000000000002,0.10954451150103323,0.0,0.0,0.10000000000000009,0.0,0.25,2,3,0
strength_requirement_recall,D-A,5,0.05,0.11180339887498951,0.0,0.0,0.0,0.0,0.25,1,4,0
full_rubric_coverage,B-A,6,0.08449883449883451,0.24734807124556382,0.0437062937062937,-0.029283216783216756,0.13243006993006995,-0.2115384615384615,0.5227272727272727,4,0,2
full_rubric_coverage,C-A,6,0.062045423145677216,0.14619543870115903,0.05987702448030768,-0.020683659705547475,0.06640785684903332,-0.09536891679748821,0.3268398268398268,4,0,2
full_rubric_coverage,D-A,6,0.06439448680214756,0.25530224023884285,0.05372107372791368,-0.10831447963800904,0.13847780126849896,-0.2223076923076923,0.4968287526427061,4,0,2
average_summary_similarity,B-A,6,-0.06783397826883526,0.059298210360352877,-0.07511857151985168,-0.09643473227818802,-0.044582976649204936,-0.1461420059204101,0.027319843570391356,1,0,5
average_summary_similarity,C-A,6,0.009178750216960907,0.0853858770099703,-0.030659998456637083,-0.040530634423096956,0.028932970017194692,-0.05519318580627436,0.1666092375914256,2,0,4
average_summary_similarity,D-A,6,0.02787806507613925,0.09651906568427729,-0.00898615022500357,-0.026935726404190036,0.027404156823953044,-0.038635318477948544,0.2172606686751048,3,0,3
grounded_feedback_rate,B-A,6,0.40395775721862676,0.18475616565149094,0.36547619047619045,0.2920454545454545,0.5452380952380952,0.17391304347826086,0.6461538461538462,6,0,0
grounded_feedback_rate,C-A,6,0.8735355084192293,0.1461886047513392,0.932967032967033,0.8479427549194991,0.95,0.6,1.0,6,0,0
grounded_feedback_rate,D-A,6,0.862967041599067,0.14806828387999302,0.8888888888888888,0.826644370122631,0.9678184281842819,0.6,1.0,6,0,0
not_assessable_observation_rate,B-A,6,0.3965483037493907,0.22318348739689506,0.35823863636363634,0.23122529644268774,0.5609375,0.14285714285714285,0.7025641025641025,6,0,0
not_assessable_observation_rate,C-A,6,0.7979242979242979,0.1925675086558937,0.8461538461538461,0.6423076923076922,0.945054945054945,0.5428571428571429,1.0,6,0,0
not_assessable_observation_rate,D-A,6,0.7864061864061863,0.17553244802893228,0.8012820512820513,0.6423076923076922,0.9166666666666666,0.5714285714285714,1.0,6,0,0
